City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Yabrud,SY,2022-07-01 10:26:29,33.9674,36.6574,80.78,19,0,7.99
159,Banjarmasin,ID,2022-07-01 10:26:30,-3.3244,114.591,82.54,85,99,5.64
160,Rio Esteban,HN,2022-07-01 10:26:30,15.8333,-86.3,74.08,94,100,3.49
161,Nikolskoye,RU,2022-07-01 10:26:31,59.7035,30.7861,87.71,33,5,7.09
162,Georgetown,MY,2022-07-01 10:21:34,5.4112,100.3354,89.89,65,20,6.91
163,Russell,US,2022-07-01 10:26:31,32.3502,-85.1999,74.48,94,75,0.0
164,Bedele,ET,2022-07-01 10:26:32,8.456,36.353,61.38,92,100,5.3
165,Skjervoy,NO,2022-07-01 10:26:32,70.0311,20.9714,59.2,77,16,6.15
166,Mackenzie,CA,2022-07-01 10:26:32,55.2999,-123.1698,55.62,88,100,0.0
167,Torbay,CA,2022-07-01 10:26:33,47.6666,-52.7314,63.37,94,75,14.97
168,Acarau,BR,2022-07-01 10:23:17,-2.8856,-40.12,75.51,89,8,11.41
169,Arraial Do Cabo,BR,2022-07-01 10:26:34,-22.9661,-42.0278,62.46,94,20,2.3
170,Gamba,GA,2022-07-01 10:26:34,-2.65,10.0,75.29,76,100,6.96
171,Riberalta,BO,2022-07-01 10:26:34,-10.9833,-66.1,70.0,83,21,0.0
172,Rundu,NA,2022-07-01 10:26:35,-17.9333,19.7667,71.47,30,3,7.67
173,Marsh Harbour,BS,2022-07-01 10:26:35,26.5412,-77.0636,80.02,80,12,13.73
174,Lodja,CD,2022-07-01 10:26:36,-3.4833,23.4333,93.7,24,67,5.7
175,Nenjiang,CN,2022-07-01 10:26:36,49.1833,125.2167,76.19,81,38,5.41
176,Hervey Bay,AU,2022-07-01 10:26:37,-25.2986,152.8535,62.02,97,100,8.99
177,Saint-Georges,GD,2022-07-01 10:26:37,12.0564,-61.7485,76.68,94,40,0.0
178,Nome,US,2022-07-01 10:26:37,64.5011,-165.4064,64.47,60,0,9.22
179,Ayagoz,KZ,2022-07-01 10:26:38,47.9714,80.4392,76.05,37,57,15.88
180,Tiznit,MA,2022-07-01 10:26:38,29.5833,-9.5,70.83,58,3,5.28
181,Kaitangata,NZ,2022-07-01 10:26:39,-46.2817,169.8464,44.35,81,77,12.24
182,Cockburn Town,TC,2022-07-01 10:26:39,21.4612,-71.1419,81.27,76,97,19.48
183,Ternate,ID,2022-07-01 10:26:41,0.8,127.4,82.45,74,72,2.01
184,Mianyang,CN,2022-07-01 10:26:43,31.4593,104.7542,81.81,57,100,6.22
185,Yatou,CN,2022-07-01 10:26:43,37.15,122.3833,75.9,90,22,15.48
186,Phan Thiet,VN,2022-07-01 10:27:44,10.9333,108.1,82.13,83,100,11.01
187,Okha,RU,2022-07-01 10:27:44,53.5739,142.9478,67.32,78,10,11.81
188,Arlit,NE,2022-07-01 10:27:44,18.7369,7.3853,96.46,25,4,9.93
189,Broome,US,2022-07-01 10:27:45,42.2506,-75.833,67.35,79,0,6.91
190,Hami,CN,2022-07-01 10:27:45,42.8,93.45,104.56,7,24,5.79
191,Saint-Pierre,RE,2022-07-01 10:27:46,-21.3393,55.4781,74.88,61,0,24.16
192,Goderich,CA,2022-07-01 10:27:46,43.7501,-81.7165,71.92,60,96,11.5
193,Mehamn,NO,2022-07-01 10:27:47,71.0357,27.8492,48.15,93,40,8.05
194,Olafsvik,IS,2022-07-01 10:27:48,64.8945,-23.7142,51.06,88,100,4.34
195,San Patricio,US,2022-07-01 10:27:49,28.017,-97.5169,84.88,90,1,5.84
196,Hammerfest,NO,2022-07-01 10:27:49,70.6634,23.6821,70.25,56,0,8.05
197,Beringovskiy,RU,2022-07-01 10:27:50,63.05,179.3167,43.79,99,100,17.07
198,Inuvik,CA,2022-07-01 10:27:50,68.3499,-133.7218,61.56,72,20,5.75
199,Bathsheba,BB,2022-07-01 10:27:51,13.2167,-59.5167,79.41,89,75,18.41
200,Ginda,IN,2022-07-01 10:27:51,30.6945,78.4932,78.57,61,100,3.76
